Variedad,Viñedo,Día desde 15/01,Brix,pH,Ac Total,Días hasta cosecha,Fecha_Cosecha
Malbec,Drummond,15,13.77,3.11,10.03,33,30/01
Malbec,Drummond,20,16.59,3.18,9.65,28,04/02
Malbec,Drummond,25,17.21,3.32,9.22,23,09/02
Malbec,Drummond,30,19.34,3.23,8.31,18,14/02
Malbec,Drummond,35,20.59,3.38,7.82,13,19/02
Malbec,Drummond,40,21.7,3.38,6.49,8,24/02
Malbec,Drummond,48,23.76,3.77,3.99,0,04/03
Cabernet,Agrelo,15,13.66,3.06,10.71,41,30/01
Cabernet,Agrelo,20,14.83,3.14,9.81,36,04/02
Cabernet,Agrelo,25,16.81,3.23,8.9,31,09/02
Cabernet,Agrelo,30,17.73,3.22,8.14,26,14/02
Cabernet,Agrelo,35,19.5,3.34,8.23,21,19/02
Cabernet,Agrelo,40,19.83,3.43,8.64,16,24/02
Cabernet,Agrelo,45,21.47,3.35,7.13,11,01/03
Cabernet,Agrelo,50,22.72,3.33,6.74,6,06/03
Cabernet,Agrelo,56,23.97,3.56,6.47,0,12/03
Cabernet,Agrelo,15,13.34,3.11,10.25,49,30/01
Cabernet,Agrelo,20,14.38,3.13,10.09,44,04/02
Cabernet,Agrelo,25,15.67,3.14,9.55,39,09/02
Cabernet,Agrelo,30,15.66,3.22,9.16,34,14/02
Cabernet,Agrelo,35,17.77,3.29,8.99,29,19/02
Cabernet,Agrelo,40,17.98,3.24,8.41,24,24/02
Cabernet,Agrelo,45,18.82,3.36,7.43,19,01/03
Cabernet,Agrelo,50,21.72,3.4,7.25,14,06/03
Cabernet,Agrelo,55,22.65,3.38,6.58,9,11/03
Cabernet,Agrelo,64,23.49,3.43,6.39,0,20/03
Syrah,Agrelo,15,14.36,3.14,9.9,36,30/01
Syrah,Agrelo,20,15.39,3.31,9.73,31,04/02
Syrah,Agrelo,25,17.31,3.34,9.4,26,09/02
Syrah,Agrelo,30,18.01,3.23,8.46,21,14/02
Syrah,Agrelo,35,19.32,3.27,7.95,16,19/02
Syrah,Agrelo,40,21.11,3.48,7.19,11,24/02
Syrah,Agrelo,45,22.49,3.41,6.97,6,01/03
Syrah,Agrelo,51,24.7,3.57,6.67,0,07/03
Cabernet,Drummond,15,13.88,3.29,10.05,42,30/01
Cabernet,Drummond,20,14.0,3.27,10.12,37,04/02
Cabernet,Drummond,25,16.23,3.29,9.12,32,09/02
Cabernet,Drummond,30,17.32,3.31,9.48,27,14/02
Cabernet,Drummond,35,18.01,3.37,8.43,22,19/02
Cabernet,Drummond,40,19.91,3.35,7.37,17,24/02
Cabernet,Drummond,45,21.53,3.36,6.94,12,01/03
Cabernet,Drummond,50,22.72,3.48,6.76,7,06/03
Cabernet,Drummond,57,24.05,3.55,6.6,0,13/03
Cabernet,Agrelo,15,14.69,3.15,10.66,38,30/01
Cabernet,Agrelo,20,14.56,3.2,9.78,33,04/02
Cabernet,Agrelo,25,16.29,3.25,9.63,28,09/02
Cabernet,Agrelo,30,17.58,3.33,8.27,23,14/02
Cabernet,Agrelo,35,20.3,3.37,8.56,18,19/02
Cabernet,Agrelo,40,20.9,3.4,7.71,13,24/02
Cabernet,Agrelo,45,21.82,3.34,7.04,8,01/03
Cabernet,Agrelo,53,22.83,3.42,6.53,0,09/03
Cabernet,Drummond,15,13.45,3.1,10.44,42,30/01
Cabernet,Drummond,20,14.74,3.18,10.26,37,04/02
Cabernet,Drummond,25,15.94,3.15,9.16,32,09/02
Cabernet,Drummond,30,17.66,3.3,8.96,27,14/02
Cabernet,Drummond,35,19.25,3.3,8.93,22,19/02
Cabernet,Drummond,40,20.23,3.22,8.33,17,24/02
Cabernet,Drummond,45,20.67,3.34,7.42,12,01/03
Cabernet,Drummond,50,21.41,3.4,7.2,7,06/03
Cabernet,Drummond,57,23.79,3.52,6.01,0,13/03
Malbec,Drummond,15,13.9,3.14,10.0,30,30/01
Malbec,Drummond,20,16.7,3.17,9.08,25,04/02
Malbec,Drummond,25,18.34,3.26,8.43,20,09/02
Malbec,Drummond,30,19.7,3.31,8.31,15,14/02
Malbec,Drummond,35,20.56,3.38,7.62,10,19/02
Malbec,Drummond,40,22.33,3.48,6.65,5,24/02
Malbec,Drummond,45,23.76,3.77,3.99,0,01/03
Syrah,San Carlos,15,13.57,3.17,10.7,53,30/01
Syrah,San Carlos,20,14.22,3.12,10.14,48,04/02
Syrah,San Carlos,25,15.45,3.24,9.75,43,09/02
Syrah,San Carlos,30,15.95,3.22,9.53,38,14/02
Syrah,San Carlos,35,16.48,3.14,8.75,33,19/02
Syrah,San Carlos,40,17.62,3.27,8.43,28,24/02
Syrah,San Carlos,45,19.04,3.4,8.13,23,01/03
Syrah,San Carlos,50,20.44,3.4,7.25,18,06/03
Syrah,San Carlos,55,21.84,3.4,7.35,13,11/03
Syrah,San Carlos,60,21.82,3.36,6.95,8,16/03
Syrah,San Carlos,68,23.57,3.43,6.0,0,24/03
Malbec,San Carlos,15,14.38,3.12,10.54,40,30/01
Malbec,San Carlos,20,14.82,3.17,9.83,35,04/02
Malbec,San Carlos,25,15.86,3.26,9.12,30,09/02
Malbec,San Carlos,30,17.52,3.22,7.96,25,14/02
Malbec,San Carlos,35,18.81,3.44,8.42,20,19/02
Malbec,San Carlos,40,20.17,3.35,7.64,15,24/02
Malbec,San Carlos,45,21.73,3.35,7.43,10,01/03
Malbec,San Carlos,50,23.08,3.49,6.68,5,06/03
Malbec,San Carlos,55,25.57,3.84,3.67,0,11/03
Cabernet,Agrelo,15,13.8,3.21,10.02,41,30/01
Cabernet,Agrelo,20,14.27,3.19,9.87,36,04/02
Cabernet,Agrelo,25,16.34,3.24,9.25,31,09/02
Cabernet,Agrelo,30,18.24,3.19,8.54,26,14/02
Cabernet,Agrelo,35,18.7,3.23,8.2,21,19/02
Cabernet,Agrelo,40,20.83,3.36,7.78,16,24/02
Cabernet,Agrelo,45,20.62,3.37,7.07,11,01/03
Cabernet,Agrelo,50,22.34,3.51,6.81,6,06/03
