Variedad,Viñedo,Día desde 15/01,Brix,pH,Ac Total,Días hasta cosecha,Fecha_Cosecha,tavg_avg_7d,tmin_avg_7d,tmax_avg_7d,prcp_avg_7d,wspd_avg_7d,pres_avg_7d
Malbec,Drummond,15,13.77,3.11,10.03,33,2024-01-30,27.89,19.51,33.66,0.19,11.61,1010.56
Malbec,Drummond,20,16.59,3.18,9.65,28,2024-02-04,29.11,21.26,35.09,0.66,12.33,1010.73
Malbec,Drummond,25,17.21,3.32,9.22,23,2024-02-09,27.37,20.81,33.73,1.41,13.44,1010.07
Malbec,Drummond,30,19.34,3.23,8.31,18,2024-02-14,24.6,19.79,29.16,2.01,13.39,1012.81
Malbec,Drummond,35,20.59,3.38,7.82,13,2024-02-19,25.0,17.56,31.11,5.24,13.16,1014.54
Malbec,Drummond,40,21.7,3.38,6.49,8,2024-02-24,25.09,18.46,30.79,4.9,13.37,1011.56
Malbec,Drummond,48,23.76,3.77,3.99,0,2024-03-04,24.13,18.74,28.26,0.74,10.7,1013.14
Cabernet,Agrelo,15,13.66,3.06,10.71,41,2024-01-30,27.39,19.01,33.16,0.19,11.61,1010.56
Cabernet,Agrelo,20,14.83,3.14,9.81,36,2024-02-04,28.61,20.76,34.59,0.66,12.33,1010.73
Cabernet,Agrelo,25,16.81,3.23,8.9,31,2024-02-09,26.87,20.31,33.23,1.41,13.44,1010.07
Cabernet,Agrelo,30,17.73,3.22,8.14,26,2024-02-14,24.1,19.29,28.66,2.01,13.39,1012.81
Cabernet,Agrelo,35,19.5,3.34,8.23,21,2024-02-19,24.5,17.06,30.61,5.24,13.16,1014.54
Cabernet,Agrelo,40,19.83,3.43,8.64,16,2024-02-24,24.59,17.96,30.29,4.9,13.37,1011.56
Cabernet,Agrelo,45,21.47,3.35,7.13,11,2024-03-01,22.96,16.73,27.03,0.8,10.56,1014.89
Cabernet,Agrelo,50,22.72,3.33,6.74,6,2024-03-06,22.83,17.41,28.11,0.56,11.07,1014.09
Cabernet,Agrelo,56,23.97,3.56,6.47,0,2024-03-12,23.64,17.91,29.24,0.03,11.23,1009.76
Cabernet,Agrelo,15,13.34,3.11,10.25,49,2024-01-30,27.39,19.01,33.16,0.19,11.61,1010.56
Cabernet,Agrelo,20,14.38,3.13,10.09,44,2024-02-04,28.61,20.76,34.59,0.66,12.33,1010.73
Cabernet,Agrelo,25,15.67,3.14,9.55,39,2024-02-09,26.87,20.31,33.23,1.41,13.44,1010.07
Cabernet,Agrelo,30,15.66,3.22,9.16,34,2024-02-14,24.1,19.29,28.66,2.01,13.39,1012.81
Cabernet,Agrelo,35,17.77,3.29,8.99,29,2024-02-19,24.5,17.06,30.61,5.24,13.16,1014.54
Cabernet,Agrelo,40,17.98,3.24,8.41,24,2024-02-24,24.59,17.96,30.29,4.9,13.37,1011.56
Cabernet,Agrelo,45,18.82,3.36,7.43,19,2024-03-01,22.96,16.73,27.03,0.8,10.56,1014.89
Cabernet,Agrelo,50,21.72,3.4,7.25,14,2024-03-06,22.83,17.41,28.11,0.56,11.07,1014.09
Cabernet,Agrelo,55,22.65,3.38,6.58,9,2024-03-11,22.99,16.96,29.21,0.03,10.73,1010.87
Cabernet,Agrelo,64,23.49,3.43,6.39,0,2024-03-20,22.01,16.43,28.1,0.0,11.31,1008.96
Syrah,Agrelo,15,14.36,3.14,9.9,36,2024-01-30,27.39,19.01,33.16,0.19,11.61,1010.56
Syrah,Agrelo,20,15.39,3.31,9.73,31,2024-02-04,28.61,20.76,34.59,0.66,12.33,1010.73
Syrah,Agrelo,25,17.31,3.34,9.4,26,2024-02-09,26.87,20.31,33.23,1.41,13.44,1010.07
Syrah,Agrelo,30,18.01,3.23,8.46,21,2024-02-14,24.1,19.29,28.66,2.01,13.39,1012.81
Syrah,Agrelo,35,19.32,3.27,7.95,16,2024-02-19,24.5,17.06,30.61,5.24,13.16,1014.54
Syrah,Agrelo,40,21.11,3.48,7.19,11,2024-02-24,24.59,17.96,30.29,4.9,13.37,1011.56
Syrah,Agrelo,45,22.49,3.41,6.97,6,2024-03-01,22.96,16.73,27.03,0.8,10.56,1014.89
Syrah,Agrelo,51,24.7,3.57,6.67,0,2024-03-07,22.57,16.93,27.57,0.53,10.79,1013.87
Cabernet,Drummond,15,13.88,3.29,10.05,42,2024-01-30,27.89,19.51,33.66,0.19,11.61,1010.56
Cabernet,Drummond,20,14.0,3.27,10.12,37,2024-02-04,29.11,21.26,35.09,0.66,12.33,1010.73
Cabernet,Drummond,25,16.23,3.29,9.12,32,2024-02-09,27.37,20.81,33.73,1.41,13.44,1010.07
Cabernet,Drummond,30,17.32,3.31,9.48,27,2024-02-14,24.6,19.79,29.16,2.01,13.39,1012.81
Cabernet,Drummond,35,18.01,3.37,8.43,22,2024-02-19,25.0,17.56,31.11,5.24,13.16,1014.54
Cabernet,Drummond,40,19.91,3.35,7.37,17,2024-02-24,25.09,18.46,30.79,4.9,13.37,1011.56
Cabernet,Drummond,45,21.53,3.36,6.94,12,2024-03-01,23.46,17.23,27.53,0.8,10.56,1014.89
Cabernet,Drummond,50,22.72,3.48,6.76,7,2024-03-06,23.33,17.91,28.61,0.56,11.07,1014.09
Cabernet,Drummond,57,24.05,3.55,6.6,0,2024-03-13,24.71,18.99,30.43,0.07,11.6,1008.61
Cabernet,Agrelo,15,14.69,3.15,10.66,38,2024-01-30,27.39,19.01,33.16,0.19,11.61,1010.56
Cabernet,Agrelo,20,14.56,3.2,9.78,33,2024-02-04,28.61,20.76,34.59,0.66,12.33,1010.73
Cabernet,Agrelo,25,16.29,3.25,9.63,28,2024-02-09,26.87,20.31,33.23,1.41,13.44,1010.07
Cabernet,Agrelo,30,17.58,3.33,8.27,23,2024-02-14,24.1,19.29,28.66,2.01,13.39,1012.81
Cabernet,Agrelo,35,20.3,3.37,8.56,18,2024-02-19,24.5,17.06,30.61,5.24,13.16,1014.54
Cabernet,Agrelo,40,20.9,3.4,7.71,13,2024-02-24,24.59,17.96,30.29,4.9,13.37,1011.56
Cabernet,Agrelo,45,21.82,3.34,7.04,8,2024-03-01,22.96,16.73,27.03,0.8,10.56,1014.89
Cabernet,Agrelo,53,22.83,3.42,6.53,0,2024-03-09,22.76,16.26,27.9,0.06,10.86,1012.13
Cabernet,Drummond,15,13.45,3.1,10.44,42,2024-01-30,27.89,19.51,33.66,0.19,11.61,1010.56
Cabernet,Drummond,20,14.74,3.18,10.26,37,2024-02-04,29.11,21.26,35.09,0.66,12.33,1010.73
Cabernet,Drummond,25,15.94,3.15,9.16,32,2024-02-09,27.37,20.81,33.73,1.41,13.44,1010.07
Cabernet,Drummond,30,17.66,3.3,8.96,27,2024-02-14,24.6,19.79,29.16,2.01,13.39,1012.81
Cabernet,Drummond,35,19.25,3.3,8.93,22,2024-02-19,25.0,17.56,31.11,5.24,13.16,1014.54
Cabernet,Drummond,40,20.23,3.22,8.33,17,2024-02-24,25.09,18.46,30.79,4.9,13.37,1011.56
Cabernet,Drummond,45,20.67,3.34,7.42,12,2024-03-01,23.46,17.23,27.53,0.8,10.56,1014.89
Cabernet,Drummond,50,21.41,3.4,7.2,7,2024-03-06,23.33,17.91,28.61,0.56,11.07,1014.09
Cabernet,Drummond,57,23.79,3.52,6.01,0,2024-03-13,24.71,18.99,30.43,0.07,11.6,1008.61
