Variedad,Viñedo,Día desde 15/01,Brix,pH,Ac Total,Días hasta cosecha,Fecha_Cosecha,tavg_avg_7d,tmin_avg_7d,tmax_avg_7d,prcp_avg_7d,wspd_avg_7d,pres_avg_7d
Syrah,Agrelo,15,14.13,3.21,10.06,39,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
Syrah,Agrelo,20,15.12,3.08,9.63,34,2022-02-04,23.56,17.06,26.06,1.36,6.83,1010.57
Syrah,Agrelo,25,16.68,3.19,9.25,29,2022-02-09,20.99,14.74,23.64,1.94,7.39,1014.64
Syrah,Agrelo,30,17.7,3.28,8.54,24,2022-02-14,21.71,14.17,25.24,1.29,9.24,1013.54
Syrah,Agrelo,35,18.81,3.32,8.18,19,2022-02-19,22.64,14.53,27.07,0.21,7.29,1013.14
Syrah,Agrelo,40,19.99,3.38,7.55,14,2022-02-24,20.4,14.51,23.56,1.73,8.33,1012.39
Syrah,Agrelo,45,22.23,3.41,6.84,9,2022-03-01,20.19,14.0,22.93,1.4,7.23,1012.41
Syrah,Agrelo,54,23.92,3.36,6.78,0,2022-03-10,21.8,15.99,25.11,1.36,8.04,1010.34
Cabernet,Agrelo,15,13.86,3.15,9.96,33,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
Cabernet,Agrelo,20,15.83,3.2,9.62,28,2022-02-04,23.56,17.06,26.06,1.36,6.83,1010.57
Cabernet,Agrelo,25,16.66,3.32,9.71,23,2022-02-09,20.99,14.74,23.64,1.94,7.39,1014.64
Cabernet,Agrelo,30,19.35,3.32,8.51,18,2022-02-14,21.71,14.17,25.24,1.29,9.24,1013.54
Cabernet,Agrelo,35,19.7,3.29,7.86,13,2022-02-19,22.64,14.53,27.07,0.21,7.29,1013.14
Cabernet,Agrelo,40,21.4,3.35,6.74,8,2022-02-24,20.4,14.51,23.56,1.73,8.33,1012.39
Cabernet,Agrelo,48,22.56,3.48,6.55,0,2022-03-03,21.77,14.33,25.31,0.57,7.14,1011.81
Syrah,Drummond,15,15.11,3.2,10.05,30,2022-01-30,23.6,18.1,26.21,11.26,7.47,1012.43
Syrah,Drummond,20,16.55,3.23,9.28,25,2022-02-04,24.06,17.56,26.56,1.36,6.83,1010.57
Syrah,Drummond,25,18.36,3.27,8.44,20,2022-02-09,21.49,15.24,24.14,1.94,7.39,1014.64
Syrah,Drummond,30,19.94,3.4,7.53,15,2022-02-14,22.21,14.67,25.74,1.29,9.24,1013.54
Syrah,Drummond,35,21.21,3.29,7.65,10,2022-02-19,23.14,15.03,27.57,0.21,7.29,1013.14
Syrah,Drummond,40,21.98,3.48,6.48,5,2022-02-24,20.9,15.01,24.06,1.73,8.33,1012.39
Syrah,Drummond,45,24.17,3.43,5.92,0,2022-03-01,20.69,14.5,23.43,1.4,7.23,1012.41
Syrah,Agrelo,15,15.12,3.17,9.84,30,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
Syrah,Agrelo,20,15.47,3.18,9.56,25,2022-02-04,23.56,17.06,26.06,1.36,6.83,1010.57
Syrah,Agrelo,25,17.67,3.26,8.82,20,2022-02-09,20.99,14.74,23.64,1.94,7.39,1014.64
Syrah,Agrelo,30,19.91,3.35,8.09,15,2022-02-14,21.71,14.17,25.24,1.29,9.24,1013.54
Syrah,Agrelo,35,21.57,3.4,7.24,10,2022-02-19,22.64,14.53,27.07,0.21,7.29,1013.14
Syrah,Agrelo,40,22.78,3.43,6.56,5,2022-02-24,20.4,14.51,23.56,1.73,8.33,1012.39
Syrah,Agrelo,45,24.7,3.57,6.67,0,2022-03-01,20.19,14.0,22.93,1.4,7.23,1012.41
Malbec,Agrelo,15,15.06,3.2,9.86,28,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
Malbec,Agrelo,20,16.62,3.13,8.93,23,2022-02-04,23.56,17.06,26.06,1.36,6.83,1010.57
Malbec,Agrelo,25,18.84,3.29,8.01,18,2022-02-09,20.99,14.74,23.64,1.94,7.39,1014.64
Malbec,Agrelo,30,19.23,3.3,7.84,13,2022-02-14,21.71,14.17,25.24,1.29,9.24,1013.54
Malbec,Agrelo,35,21.18,3.37,7.12,8,2022-02-19,22.64,14.53,27.07,0.21,7.29,1013.14
Malbec,Agrelo,43,25.25,3.65,4.84,0,2022-02-27,19.11,13.16,21.9,2.24,7.71,1012.7
Cabernet,San Carlos,15,12.97,3.05,10.44,51,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Cabernet,San Carlos,20,14.17,3.22,10.17,46,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Cabernet,San Carlos,25,15.41,3.22,9.89,41,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Cabernet,San Carlos,30,16.38,3.17,9.51,36,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Cabernet,San Carlos,35,17.64,3.21,8.61,31,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Cabernet,San Carlos,40,18.93,3.33,8.15,26,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Cabernet,San Carlos,45,19.41,3.33,8.09,21,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Cabernet,San Carlos,50,21.23,3.38,7.81,16,2022-03-06,19.79,14.31,25.47,2.59,7.91,1011.53
Cabernet,San Carlos,55,22.1,3.43,6.57,11,2022-03-11,18.24,13.04,23.96,2.13,8.04,1011.73
Cabernet,San Carlos,60,22.21,3.49,6.03,6,2022-03-16,18.23,12.46,24.17,0.2,7.53,1016.4
Cabernet,San Carlos,66,23.85,3.54,6.14,0,2022-03-22,17.56,12.06,23.74,0.01,7.31,1013.96
Syrah,Agrelo,15,14.78,3.18,10.04,33,2022-01-30,23.1,17.6,25.71,11.26,7.47,1012.43
Syrah,Agrelo,20,16.37,3.25,10.04,28,2022-02-04,23.56,17.06,26.06,1.36,6.83,1010.57
Syrah,Agrelo,25,17.58,3.25,8.83,23,2022-02-09,20.99,14.74,23.64,1.94,7.39,1014.64
Syrah,Agrelo,30,17.78,3.32,8.25,18,2022-02-14,21.71,14.17,25.24,1.29,9.24,1013.54
Syrah,Agrelo,35,19.54,3.36,8.03,13,2022-02-19,22.64,14.53,27.07,0.21,7.29,1013.14
Syrah,Agrelo,40,21.3,3.37,7.33,8,2022-02-24,20.4,14.51,23.56,1.73,8.33,1012.39
Syrah,Agrelo,48,24.7,3.57,6.67,0,2022-03-04,22.84,15.4,26.59,0.04,6.84,1011.21
Cabernet,San Carlos,15,13.54,3.13,10.88,51,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Cabernet,San Carlos,20,14.25,3.22,10.1,46,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
Cabernet,San Carlos,25,16.66,3.22,9.47,41,2022-02-09,18.74,13.61,25.41,3.61,7.51,1014.54
Cabernet,San Carlos,30,15.83,3.25,9.21,36,2022-02-14,19.54,13.5,26.81,1.93,8.59,1013.51
Cabernet,San Carlos,35,17.78,3.29,8.8,31,2022-02-19,21.1,14.33,28.01,0.03,8.16,1013.06
Cabernet,San Carlos,40,18.06,3.23,8.23,26,2022-02-24,18.69,14.66,23.7,7.73,7.54,1012.6
Cabernet,San Carlos,45,19.97,3.35,7.54,21,2022-03-01,17.3,12.6,22.71,3.99,7.09,1012.56
Cabernet,San Carlos,50,20.69,3.4,7.19,16,2022-03-06,19.79,14.31,25.47,2.59,7.91,1011.53
Cabernet,San Carlos,55,21.74,3.42,6.66,11,2022-03-11,18.24,13.04,23.96,2.13,8.04,1011.73
Cabernet,San Carlos,60,22.91,3.48,6.87,6,2022-03-16,18.23,12.46,24.17,0.2,7.53,1016.4
Cabernet,San Carlos,66,24.31,3.42,5.81,0,2022-03-22,17.56,12.06,23.74,0.01,7.31,1013.96
Syrah,San Carlos,15,14.22,3.33,10.47,38,2022-01-30,20.93,16.46,27.56,8.99,6.97,1012.51
Syrah,San Carlos,20,15.85,3.24,9.93,33,2022-02-04,21.07,15.74,28.04,1.34,7.84,1010.5
